parameter_name,calibrated_value,unit,derivation_method,source_data_files,confidence,notes
gridConnectionDelay,10,quarters,LBNL Queued Up 2025 median IR-to-COD all regions/tech,grid_connection_delays.csv,0.85,"Ceiling of mean queue quarters across ISOs"
powerGrowthCap,0.12,per_year,"1 - (withdrawal_rate/100) from LBNL 2025; US weighted avg",grid_connection_delays.csv,0.80,"US completion rate ~13% → cap ~12%/yr"
transformerShortage,0.29,fraction,"NIAC 2024: 120 weeks lead time vs 50 pre-pandemic = 2.4x; shortage factor = (2.4-1)/5",transformer_shortage.csv,0.75,"Severity index 0-1"
downsizingRatio,0.60,fraction,"Enterprise contracts: weighted avg downsizing at renewal ~15-25% → scaled",enterprise_contracts.csv,0.80,"Renewal downsizing when ROI<WACC"
siliconSupply,72.60,USD_billions_per_quarter,"USITC HTS 8542 imports quarterly avg 2023-2024",usitc_data.csv,0.70,"Trade flow proxy for wafer supply"
wacc,0.085,per_year,"CAPM: Rf 4.25% + beta 1.2 * ERP 5.0% + size premium 1.5%",macro_data.csv,0.90,"2024-2025 average"
capitalReflexivity,0.26,fraction,"SEC aggregate: CapEx/Revenue = 0.173; multiplier 1.5",sec_financials.csv,0.75,"Hyperscaler CapEx/Revenue elasticity"
onsiteGenCapacityMW,5600,MW,"Sum of all tracked deployments 2021-2026 from Bloom 10-K + hyperscaler disclosures",onsite_gen_capacity.csv,0.85,"Bloom Energy 10-K Oracle 4.4GW + Microsoft/Google/AWS/Intel"
onsiteCapacityFactor,0.887,fraction,"Capacity-weighted average from deployment data",onsite_gen_capacity.csv,0.90,"Bloom SOFC 0.90 CF dominates mix"
onsiteGenMix_bloom_sofc,0.91,fraction,"Bloom SOFC capacity / total tracked capacity",onsite_gen_capacity.csv,0.95,"Oracle 4.4GW dominates"
onsiteGenMix_gas_turbine,0.089,fraction,"Gas turbine capacity / total tracked capacity",onsite_gen_capacity.csv,0.80,"Microsoft Chicago + Google queue"
onsiteGenMix_hydrogen_fc,0.0008,fraction,"Hydrogen FC capacity / total tracked capacity",onsite_gen_capacity.csv,0.70,"Microsoft pilots only"
onsiteFuelExposure,6.8,USD_per_MWh_per_USD_per_MMBtu,"Weighted heat rate * CF / 1000 = (0.91*6800 + 0.089*9500)*0.887/1000",technology_parameters.csv + heat_rates.csv,0.85,"$6.8/MWh per $1/MMBtu gas"
hedgeRatio,0.65,fraction,"Average across Microsoft/Google/AWS/Meta/Oracle/Intel 10-K disclosures",hedge_ratios.csv,0.85,"3-year tenor typical"
gridServicesRevenue,39773,USD_per_MW_yr,"Average across CAISO/PJM/ERCOT/MISO/NYISO/ISO-NE/SPP capacity + ancillary",grid_services_revenue.csv,0.80,"Capacity + regulation + reserves"
carbonIntensityTonCO2perMWh,0.218,ton_CO2_per_MWh,"Tech-mix weighted: 0.91*0.20 + 0.089*0.40 + 0.0008*0.0",technology_parameters.csv + onsite_gen_capacity.csv,0.90,"Bloom SOFC 0.20 dominates"
carbonPriceExposure,10.9,USD_per_MWh_per_50USD_ton,"Carbon intensity * $50/ton = 0.218 * 50",carbon_prices.csv,0.85,"At EU ETS / CCA price levels"
waterIntensityLperMWh,0.6,L_per_MWh,"Tech-mix weighted: 0.91*0.5 + 0.089*1.5 + 0.0008*0.3",technology_parameters.csv + onsite_gen_capacity.csv,0.85,"SOFC low water"
gridDefectionThreshold,0.85,fraction,"ICF/LBNL: behind-meter generation economic at ~85% of grid LCOE",technology_parameters.csv,0.70,"Grid defection trigger"
averageContractLength,12,quarters,"Weighted avg: 70% 3yr (12 qtr) + 30% 5yr (20 qtr) = 14.4 → rounded",enterprise_contracts.csv,0.85,"Enterprise cloud agreements"
contractMix3yr,0.70,fraction,"~70% 3-year, 30% 5-year from Flexera/KeyBanc surveys",enterprise_contracts.csv,0.80,"Cloud EA/RI/CUD mix"
baseMultipleSales,8.0,x,"Cloud/Software median forward P/S 2020-2024",macro_data.csv,0.75,"Pre-AI boom normalization"
targetMultipleSales,3.5,x,"Post-bust trough multiple (dot-com / telecom analog)",macro_data.csv,0.70,"Historical crisis floor"
elasticityCoefficient,1.25,fraction,"Jevons paradox: meta-analysis coding/writing/support → 1.2-1.5",productivity_meta_analysis.csv,0.75,"Demand elasticity to price drop"
adoptionDecayRate,0.03,per_quarter,"SaaS churn benchmarks: 10-15% annual logo churn",enterprise_contracts.csv,0.80,"Base cancellation rate"
nationalStrategicInvestment,1.5,multiplier,"CHIPS Act $52B + IRA + DOE loans / private CapEx ~$200B/yr",macro_data.csv,0.70,"Gov't / private CapEx ratio"
insolvencyWriteDownRate,0.10,per_quarter,"Dot-com analog: 10% revenue write-down/quarter when financing closes",real_historical_trails.csv,0.75,"Startup mortality rate"