facility_id,name,hyperscaler,capacity_mw,status,tier,capex_billion,gpus,inference_pflops,training_pflops,annual_power_cost_million,revenue_billion_45util,ebitda_billion_45util,roic_45util
DC-00001,Stratos Hyperscale Campus,Bitzero,9000,Planned,Tier 1,81.0,7999200,9160.6,4579.7,2428.272,343.048776624,340.620504624,4.205191415111111
DC-00002,Monarch Compute Campus,Nscale,8000,Planned,Tier 1,72.0,7110400,8142.7,4070.8,2158.464,304.931370888,302.772906888,4.205179262333333
DC-00003,GW Ranch,Pacifico Energy,7650,Planned,Tier 1,68.85,6799320,7786.5,3892.7,2653.7544,291.5913026304,288.93754823039995,4.196623794196078
DC-00004,New Era Lea Data Center,New Era Energy,7000,Planned,Tier 1,63.0,6221600,7124.9,3562.0,2050.5408,266.815540152,264.764999352,4.202619037333333
DC-00005,Data City Texas,Energy Abundance,5000,Planned,Tier 1,45.0,4444000,5089.2,2544.3,1734.48,190.58230368,188.84782368,4.196618304
DC-00006,Sailfish Comanche Circle,Sailfish Digital,5000,Planned,Tier 1,45.0,4444000,5089.2,2544.3,1734.48,190.58230368,188.84782368,4.196618304
DC-00007,GridFree AI South Dallas One,GridFree AI,5000,Planned,Tier 1,45.0,4444000,5089.2,2544.3,1734.48,190.58230368,188.84782368,4.196618304
DC-00027,Meta Hyperion Campus,Meta,5000,Under Construction,Tier 1,10.0,4444000,5089.2,2544.3,1349.04,126.13478820363636,124.78574820363637,12.478574820363637
DC-00030,Meta Hyperion,Meta,5000,Under Construction,Tier 1,10.0,4444000,5089.2,2544.3,1349.04,126.13478820363636,124.78574820363637,12.478574820363637
DC-00008,Fermi Phase 3 (SMR/Expansion),Fermi America,4600,Planned,Tier 1,41.4,4088480,4682.1,2340.7,1595.7216,175.33628638560003,173.74056478560004,4.196631999652174
DC-00009,Homer City Energy Campus,Homer City,4500,Planned,Tier 1,40.5,3999600,4580.3,2289.8,1456.9632,171.524388312,170.067425112,4.199195681777778
DC-00010,Fermi Phase 2 (Nuclear),Fermi America,4400,Planned,Tier 1,39.6,3910720,4478.5,2238.9,1526.3424,167.7124902384,166.1861478384,4.196619894909091
DC-00011,High Performance Compute Campus,Joule Capital,4000,Planned,Tier 1,36.0,3555200,4071.4,2035.4,1079.232,152.466472944,151.387240944,4.205201137333333
DC-00012,STAK Energy North Slopes,STAK Energy,3000,Planned,Tier 1,27.0,2666400,3053.5,1526.6,1850.112,114.349067208,112.498955208,4.166627970666666
DC-00013,Vermaland La Osa Campus,Vermaland,3000,Planned,Tier 1,27.0,2666400,3053.5,1526.6,971.3088,114.349067208,113.377758408,4.199176237333333
DC-00019,Vermaland Pinal County,Vermaland,3000,Planned,Tier 1,27.0,2666400,3053.5,1526.6,971.3088,114.349067208,113.377758408,4.199176237333333
DC-00031,North Creek Tech Campus,AWS,2700,Planned,Tier 1,24.3,2399760,2748.2,1373.9,832.5504,143.06414066026667,142.23159026026667,5.853151862562414
DC-00034,Crusoe Tallgrass Wyoming,Crusoe,2700,Planned,Tier 1,5.0,2399760,2748.2,1373.9,624.4128,65.1984739936,64.5740611936,12.91481223872
DC-00035,Crusoe Tallgrass,Crusoe,2700,Planned,Tier 1,5.0,2399760,2748.2,1373.9,624.4128,65.1984739936,64.5740611936,12.91481223872
DC-00014,Hanover Technology Park,Tract,2400,Planned,Tier 1,21.6,2133120,2442.8,1221.2,740.0448,91.4792537664,90.73920896640001,4.200889304
DC-00015,Project Marvel,Other/Unclassified,1200,Planned,Tier 1,10.8,1066560,1221.4,610.6,370.0224,45.7396268832,45.36960448320001,4.200889304
DC-00050,Stargate Abilene Phase 2,Oracle,1200,Under Construction,Tier 1,6.0,1066560,1221.4,610.6,416.2752,40.83157814748236,40.41530294748236,6.735883824580394
DC-00018,Wilsonville Data Center,Northpoint Development,1008,Planned,Tier 1,9.072,895910,1026.0,512.9,310.818816,38.421661176,38.11084236,4.200930595238095
DC-00026,Project Jarvis,Other/Unclassified,1000,Suspended,Tier 1,9.0,888800,1017.8,508.9,346.896,38.115830736,37.768934736,4.196548304
DC-00052,Stargate UAE,Oracle,1000,Planned,Tier 1,9.0,888800,1017.8,508.9,385.44,34.02556242682353,33.64012242682353,3.73779138075817
DC-00016,Project Leo,Other/Unclassified,575,Planned,Tier 1,5.175,511060,585.3,292.6,141.84192,21.917626423200005,21.775784503200004,4.207881063420291
DC-00020,Project Blue Marana,Beale Infrastructure,425,Planned,Tier 2,3.825,377740,432.6,216.3,137.60208,16.1997793128,16.0621772328,4.199262021647059
DC-00037,Imperial Valley Project,Google,330,Under Construction,Tier 2,10.0,293303,335.9,167.9,114.47568,12.57861661344,12.46414093344,1.2464140933439998
DC-00048,Colossus xAI,xAI,300,Operating,Tier 2,2.7,266640,305.4,152.7,92.5056,7.414513777066667,7.322008177066667,2.711854880395062
DC-00046,Microsoft Fairwater Atlanta,Microsoft,268,Operating,Tier 2,2.5,238198,272.8,136.4,78.506419,10.21550543136,10.13699901236,4.054799604944
DC-00040,Prime Phoenix Campus,Prime Data Centers,240,Under Construction,Tier 2,2.16,213312,244.3,122.1,77.704704,9.148240376639999,9.07053567264,4.199322070666667
DC-00051,Stargate Norway,Oracle,230,Planned,Tier 2,2.07,204424,234.1,117.0,88.6512,7.82601484346353,7.73736364346353,3.7378568325910773
DC-00042,NTT Mesa Campus,NTT,200,Under Construction,Tier 2,1.8,177760,203.6,101.8,64.75392,7.6237961472,7.5590422272,4.199467904
DC-00043,Stream Phoenix,Stream Data Centers,200,Under Construction,Tier 2,1.8,177760,203.6,101.8,64.75392,7.6237961472,7.5590422272,4.199467904
DC-00049,Stargate Abilene Phase 1,Oracle,200,Under Construction,Tier 2,1.2,177760,203.6,101.8,69.3792,6.806015720658823,6.7366365206588235,5.613863767215686
DC-00041,Vantage Goodyear,Vantage,176,Under Construction,Tier 2,1.584,156428,179.1,89.6,56.98345,6.70786279776,6.65087934776,4.198787467020202
DC-00028,Meta Montgomery,Meta,150,Under Construction,Tier 2,1.35,133320,152.7,76.3,46.2528,3.784378100654546,3.738125300654546,2.7689817041885525
DC-00024,AVAIO Perseus,AVAIO Digital,99,Under Construction,Tier 3,0.891,87991,100.8,50.4,49.606128,3.7740608899199994,3.7244547619199997,4.180083907878787
DC-00032,AWS Gilroy,AWS,73,Under Construction,Tier 3,0.5,64881,74.3,37.1,36.578256,3.8678889958666662,3.8313107398666664,7.662621479733333
DC-00045,Microsoft Alviso,Microsoft,48,Under Construction,Tier 3,0.432,42662,48.9,24.4,24.051456,1.8302746694399998,1.8062232134399998,4.181072253333333
