facility_id,facility_name,operator,tenant,hyperscaler_category,city,state_province,country,status,capacity_mw,capacity_category,expected_online_date,project_cost_usd,cooling_type,power_source,purpose,source_url,notes,tier
DC-00001,Stratos Hyperscale Campus,Bitzero Blockchain Inc.,,Other/Unclassified,,Utah,United States,Planned,9000,Mega campus (>1,,,,,,Largest announced US project,AI/Hyperscale,Tier 1
DC-00002,Monarch Compute Campus,Nscale Ltd.,2027,Other/Unclassified,,West Virginia,United States,Planned,8000,Mega campus (>1,,,,,,$1.6B+ investment,AI/Hyperscale,Tier 1
DC-00003,GW Ranch,Pacifico Energy,2027,Other/Unclassified,,Texas,United States,Planned,7650,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00004,New Era Lea Data Center,New Era Energy & Digital,2028,Other/Unclassified,,New Mexico,United States,Planned,7000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00005,Data City Texas,Energy Abundance,2027,Other/Unclassified,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00006,Sailfish Comanche Circle,Sailfish Digital Ventures,2028,Other/Unclassified,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00007,GridFree AI South Dallas One,GridFree AI,2026,Other/Unclassified,,Texas,United States,Planned,5000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00027,Meta Hyperion Campus,Meta,2026,Meta,,Louisiana,United States,Under Construction,5000,Mega campus (>1,,,,,Meta,$10B+ campus,AI/Hyperscale,Tier 1
DC-00030,Meta Hyperion,Meta,,Meta,,Louisiana,United States,Under Construction,5000,Mega campus (>1,,,,,Meta,,AI/Hyperscale,Tier 1
DC-00008,Fermi Phase 3 (SMR/Expansion),Fermi America,2036,Other/Unclassified,,Texas,United States,Planned,4600,Mega campus (>1,,,,,,Nuclear SMR,AI/Hyperscale,Tier 1
DC-00009,Homer City Energy Campus,Homer City Redevelopment,2027,Other/Unclassified,,Pennsylvania,United States,Planned,4500,Mega campus (>1,,,,,,Repurposed coal plant,AI/Hyperscale,Tier 1
DC-00010,Fermi Phase 2 (Nuclear),Fermi America,2032,Other/Unclassified,,Texas,United States,Planned,4400,Mega campus (>1,,,,,,Nuclear,AI/Hyperscale,Tier 1
DC-00011,High Performance Compute Campus,Joule Capital Partners,2026,Other/Unclassified,,Utah,United States,Planned,4000,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00012,STAK Energy North Slopes,STAK Energy,,Other/Unclassified,,Alaska,United States,Planned,3000,Mega campus (>1,,,,,,Natural gas,AI/Hyperscale,Tier 1
DC-00013,Vermaland La Osa Campus,Vermaland,,Other/Unclassified,,Arizona,United States,Planned,3000,Mega campus (>1,,,,,,$33B project,AI/Hyperscale,Tier 1
DC-00019,Vermaland Pinal County,Vermaland LLC,$33 billion,Other/Unclassified,Red Rock,Arizona,United States,Planned,3000,Mega campus (>1,,,,,,AI/Hyperscale,,Tier 1
DC-00031,North Creek Tech Campus,Amazon,,AWS,,Virginia,United States,Planned,2700,Mega campus (>1,,,,,AWS,,Cloud/AI,Tier 1
DC-00034,Crusoe Tallgrass Wyoming,Crusoe,,Crusoe,,Wyoming,United States,Planned,2700,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00035,Crusoe Tallgrass,Crusoe,,Crusoe,,Wyoming,United States,Planned,2700,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00014,Hanover Technology Park,Tract,,Other/Unclassified,,Virginia,United States,Planned,2400,Mega campus (>1,,,,,,,AI/Hyperscale,Tier 1
DC-00015,Project Marvel,Logistic Land Investments LLC,2032,Other/Unclassified,Bessemer,Alabama,United States,Planned,1200,Mega campus (>1,$14 billion,,,,,"Community opposition, NDAs signed",AI/Hyperscale,Tier 1
DC-00050,Stargate Abilene Phase 2,Crusoe/Oracle/OpenAI,,Oracle,Abilene,Texas,United States,Under Construction,1200,Mega campus (>1,,,,,OpenAI/Oracle,6 new buildings,AI/Hyperscale,Tier 1
DC-00018,Wilsonville Data Center,Northpoint Development,,Other/Unclassified,Wilsonville,Alabama,United States,Planned,1008,Mega campus (>1,,,,,,Community opposition,AI/Hyperscale,Tier 1
DC-00026,Project Jarvis,,,Other/Unclassified,Fort Pierce,Florida,United States,Suspended,1000,Mega campus (>1,,,,,,Voted down 4-2,AI/Hyperscale,Tier 1
DC-00052,Stargate UAE,Stargate Consortium,,Stargate,,,United Arab Emirates,Planned,1000,Mega campus (>1,,,,,OpenAI/Oracle/MGX,1GW cluster,AI/Hyperscale,Tier 1
DC-00016,Project Leo,Avaio Digital,2027,Other/Unclassified,Little Rock,Arkansas,United States,Planned,575,Hyperscale (100-999 MW),$6 billion,,,,,"Natural gas, Entergy contract",AI/Hyperscale,Tier 1
DC-00020,Project Blue Marana,Beale Infrastructure,,Other/Unclassified,Marana,Arizona,United States,Planned,425,Hyperscale (100-999 MW),,,,,2027,"Air cooled, 610 acres",AI/Hyperscale,Tier 2
DC-00037,Imperial Valley Project,Imperial Valley Computer Manufacturing/Google,Google (unconfirmed),Google,Imperial,California,United States,Under Construction,330,Hyperscale (100-999 MW),2027,10000000000.0,,,AI/Hyperscale,https://www.imperialdatacenter.com/,"100 gas generators, 862MWh BESS",Tier 2
DC-00048,Colossus xAI,xAI,xAI,xAI,Shelby,Tennessee,United States,Operating,300,Hyperscale (100-999 MW),2025,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/xai-colossus-supercomputer-memphis-tennessee/,100k GPUs,Tier 2
DC-00046,Microsoft Fairwater Atlanta,Microsoft/QTS,Microsoft,Microsoft,Fayette County,Georgia,United States,Operating,268,Hyperscale (100-999 MW),2026,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/microsoft-fairwater-atlanta-building-4-268mw/,"Building 4 268MW, Bldg 2 260MW",Tier 2
DC-00040,Prime Phoenix Campus,Prime Data Centers,,Prime Data Centers,Tolleson,Arizona,United States,Under Construction,240,Hyperscale (100-999 MW),,29000000.0,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/prime-data-centers-breaks-ground-on-three-out-of-five-buildings-at-its-240mw-campus-in-phoenix-arizona/,3 of 5 buildings broke ground,Tier 2
DC-00051,Stargate Norway,Stargate Consortium,OpenAI/Oracle,Oracle,Kvandal/Narvik,,Norway,Planned,230,Hyperscale (100-999 MW),2026,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/stargate-norway-aims-lead-europes-ai-infrastructure/,100k GPUs by 2026,Tier 2
DC-00042,NTT Mesa Campus,NTT Global Data Centers,,NTT,Mesa,Arizona,United States,Under Construction,200,Hyperscale (100-999 MW),$300 million,,,,,"173 acres, 500-700MW secondary",AI/Hyperscale,Tier 2
DC-00043,Stream Phoenix,Stream Data Centers,,Stream Data Centers,Goodyear,Arizona,United States,Under Construction,200,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/stream-dc-files-to-expand-phoenix-campus-to-200mw/,,Tier 2
DC-00049,Stargate Abilene Phase 1,Crusoe/Oracle/OpenAI,,Oracle,Abilene,Texas,United States,Under Construction,200,Mega campus (>1,,,,,OpenAI/Oracle,Phase 1 of 1.2GW,AI/Hyperscale,Tier 2
DC-00041,Vantage Goodyear,Vantage Data Centers,,Vantage,Goodyear,Arizona,United States,Under Construction,176,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/vantage-completes-construction-on-first-data-center-in-goodyear-arizona/,,Tier 2
DC-00028,Meta Montgomery,Meta,Meta,Meta,Montgomery,Alabama,United States,Under Construction,150,Hyperscale (100-999 MW),,800000000.0,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/meta-to-build-800m-data-center-in-montgomery-alabama/,,Tier 2
DC-00024,AVAIO Perseus,AVAIO Digital,,Other/Unclassified,Pittsburg,California,United States,Under Construction,99,Hyperscale (100-999 MW),2027,,,,AI/Hyperscale,https://www.avaiodigital.com/developments/pittsburg-california/,"100% renewable, recycled water",Tier 3
DC-00032,AWS Gilroy,Amazon,AWS,AWS,Gilroy,California,United States,Under Construction,73,Large (51-99 MW),2026,,,,Cloud/AI,https://www.cityofgilroy.org/1019/15010/Gilroy-Data-Center-by-AWS/,Community opposition,Tier 3
DC-00045,Microsoft Alviso,Microsoft,Microsoft,Microsoft,San Jose,California,United States,Under Construction,48,Medium (11-50 MW),2028,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/microsoft-breaks-ground-on-alviso-data-center-campus-in-san-jose-california/,,Tier 3
DC-00017,Clarksville Data Center,Serverfarm,,Other/Unclassified,Clarksville,Arkansas,United States,Planned,,Hyperscale (100-999 MW),,8000000000.0,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/serverfarm-targets-135-acre-data-center-campus-in-arkansas/,Phase 1 approved,Tier 3
DC-00021,Project Blue Tucson,Beale Infrastructure,,Other/Unclassified,Tucson,Arizona,United States,Under Construction,,Unknown,$3.6 billion,,,,AI/Hyperscale,https://news.azpm.org/p/azpmnews/2026/5/28/229919-arizona-water-officials-approve-wells-tied-to-project-blue-data-center/,"Water concerns, 31M gal/yr",Tier 3
DC-00022,Compass Goodyear,Compass Data Centers,,Other/Unclassified,Goodyear,Arizona,United States,Under Construction,,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/compass-datacenters-starts-build-hyperscale-arizona-campus/,,Tier 3
DC-00023,Tract Buckeye,Tract Data Centers,,Other/Unclassified,,Arizona,United States,Under Construction,,Mega campus (>1,,,,,,"2,069 acres",AI/Hyperscale,Tier 3
DC-00025,Fort Meade Campus,,,Other/Unclassified,Fort Meade,Florida,United States,Under Construction,,Unknown,,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/44-million-sq-ft-data-center-campus-gets-zoning-approval-in-fort-meade-florida/,"1,300 acres",Tier 3
DC-00029,Meta Mesa,Meta,,Meta,Mesa,Arizona,United States,Under Construction,,Unknown,,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/google-files-to-build-second-data-center-at-mesa-campus-in-arizona/,,Tier 3
DC-00033,Meta New Albany,Amazon/Microsoft/Google,$40 billion+,AWS,New Albany,Ohio,United States,Planned,,Mega campus (>1,,,,,,Cloud/AI,,Tier 3
DC-00036,Google Project Pyramid,Google/Groot LLC,,Google,,Arkansas,United States,Under Construction,,Hyperscale (100-999 MW),$10 billion,,,,Google,920 acres,AI/Cloud,Tier 3
DC-00038,Google Ohio,Google,$10 billion+,Google,,Ohio,United States,Planned,,Mega campus (>1,,,,,,Cloud/AI,,Tier 3
DC-00039,Aligned Waddell Campus,Aligned Data Centers,,Aligned,Waddell,Arizona,United States,Under Construction,,Hyperscale (100-999 MW),,,,,AI/Hyperscale,https://www.datacenterdynamics.com/en/news/aligned-breaks-ground-on-data-center-in-phoenix-arizona/,,Tier 3
DC-00044,Microsoft Goodyear,Microsoft,,Microsoft,Goodyear,Arizona,United States,Expanding,,Unknown,250,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/owners-of-indoor-cannabis-farm-in-michigan-offer-site-up-for-data-center-use/,,Tier 3
DC-00047,Apple Mesa,Apple,,Apple,Mesa,Arizona,United States,Operating,,Unknown,,,,,Cloud/AI,https://www.datacenterdynamics.com/en/news/aws-plots-four-data-centers-in-mesa-arizona/,,Tier 3
